,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
894,99.23,5.3,0.9,4.4,2.9,5.92,8.0,2.533333333333333,3.34,3.0,0.9395973154362416,0.047619047619047616,0.52,0.43,0.0,0.24,0.0,0.05,1.57,0.0,1.71,0.0,0.1,0.76,0.0,0.0,0.0,0.0,0.76,0.0,0.95,B1,2
895,64.3,11.6,8.1,10.32,9.5,6.92,37.0,7.0,8.77,9.0,1.458966565349544,0.55,0.65,1.45,0.5,0.75,0.0,0.55,1.6,0.0,5.15,0.1,0.5,1.0,0.95,0.0,0.2,0.0,2.1,0.0,0.95,B1,2
896,53.44,13.0,12.3,11.44,15.0,9.0,69.0,12.0,13.62,12.0,1.8505154639175259,0.9285714285714286,1.64,3.64,0.43,0.93,0.0,1.29,2.93,0.0,6.21,0.0,0.71,1.43,2.21,0.5,1.0,0.0,3.86,0.0,0.93,B1,2
897,52.19,13.3,10.7,11.49,11.8,10.04,29.0,13.4,12.41,11.0,1.3380281690140845,2.142857142857143,1.43,2.57,0.29,1.0,0.0,0.29,2.0,0.0,4.43,0.43,0.14,0.86,2.71,0.0,0.43,0.0,2.12,0.0,1.0,B1,2
898,73.17,9.0,6.8,7.01,6.7,6.64,29.0,6.0,7.6,7.0,1.1441717791411044,0.25,1.65,1.45,0.55,1.0,0.0,0.65,1.65,0.0,3.19,0.05,0.4,0.85,0.7,0.2,0.6,0.0,2.15,0.0,1.0,B1,2
899,65.52,10.1,7.6,9.97,8.7,9.12,29.0,6.25,8.78,9.0,1.0718954248366013,2.0,0.6,1.5,0.3,1.5,0.0,0.2,1.7,0.0,2.9,0.6,0.3,0.3,2.5,0.0,0.2,0.1,1.6,0.0,1.0,B1,2
900,64.61,9.8,8.0,9.74,9.0,8.16,59.0,6.75,8.81,9.0,1.2052631578947368,0.2608695652173913,0.91,1.52,1.09,1.48,0.0,0.87,1.48,0.0,4.35,0.17,0.43,0.78,0.13,0.13,0.22,0.0,2.0,0.0,0.96,B1,2
901,72.97,9.0,6.9,6.49,6.5,8.88,48.0,7.2857142857142865,7.88,7.0,1.2594594594594595,2.590909090909091,1.14,1.5,0.09,0.82,0.0,0.41,1.91,0.05,3.09,0.86,0.45,0.41,2.68,0.0,0.18,0.0,1.73,0.0,1.0,B1,2
902,82.24,9.4,5.4,6.2,5.8,7.26,20.0,6.0,7.75,6.0,0.9504504504504504,0.6428571428571429,1.29,1.07,0.93,1.07,0.0,0.79,1.14,0.14,2.14,0.29,0.5,2.57,0.29,0.14,0.5,0.07,2.0,0.0,0.93,B1,2
903,90.7,7.5,4.2,5.44,5.1,6.04,17.0,7.142857142857142,6.22,5.0,1.181081081081081,0.375,0.54,1.33,0.67,0.71,0.0,0.58,1.12,0.0,2.58,0.12,0.58,2.62,0.17,0.0,0.62,0.0,2.79,0.0,0.96,B1,2
904,84.88,8.0,4.4,5.32,4.1,7.08,36.0,7.428571428571429,6.29,8.0,1.0871934604904632,0.7142857142857143,0.93,1.46,0.64,0.75,0.0,0.36,1.04,0.0,1.75,0.18,0.29,1.71,0.71,0.29,0.32,0.0,1.71,0.0,0.96,B1,2
905,65.73,9.2,7.6,8.23,7.2,7.29,43.0,7.0,8.06,8.0,1.28125,0.5714285714285714,0.48,1.67,0.76,0.86,0.0,0.43,0.71,0.0,2.71,0.29,0.86,1.71,1.0,0.0,0.33,0.0,2.38,0.0,1.0,B1,2
906,71.75,10.3,7.3,8.12,8.2,8.23,127.0,14.75,9.63,8.0,1.188722669735328,1.0212765957446808,1.09,2.0,0.77,1.21,0.0,0.51,1.43,0.0,3.0,0.4,0.81,1.81,0.94,0.66,0.3,0.04,2.53,0.0,1.0,B1,2
907,71.34,9.7,7.5,8.06,8.1,7.99,93.0,8.666666666666666,9.17,8.0,1.1479374110953058,1.5128205128205128,1.1,1.85,0.87,0.95,0.0,0.56,1.26,0.05,2.51,0.31,0.62,2.18,1.67,0.0,0.44,0.0,2.62,0.0,1.0,B1,2
